ID,Floy tag number,Date tagged,Release Time,Trap ID,Zone,Trap depth (m),Floy reward amount,Total length (cm),Weight (g),Release location,Notes,Recapture date,Report date,Fate,Method,Reported location,Reported length,Reported weight,Photo verification Y/N,Return/report notes
139,7493,5/27/23,10:09,CARP4-Z1-144,1,5.4,0,57.5,2150,CARP4-Z1-144,,5/31/23,5/31/23,released,cod trap ,CARP5-Z1-184,57.5,2150,NA,"Recaptured by research team in same zone (Z1) as release the previous week. recap depth 6.7m, temp 8.0C"
140,7329,5/27/23,10:11,CARP4-Z1-144,1,5.4,100,77.5,3800,CARP4-Z1-144,,,,,,,,,,
141,7494,5/27/23,10:19,CARP4-Z1-201,1,6.7,0,66,2150,CARP4-Z1-201,,,,,,,,,,
142,7330,5/27/23,10:30,CARP4-Z1-85,1,6.1,100,85,3650,CARP4-Z1-85,,,,,,,,,,
143,7495,5/27/23,10:33,CARP4-Z1-85,1,6.1,0,86.5,5000,CARP4-Z1-85,,,,,,,,,,
144,7331,5/27/23,10:42,CARP4-Z1-179,1,9.9,100,56,1300,CARP4-Z1-179,,,,,,,,,,
145,7510,5/27/23,11:09,CARP4-Z1-100,1,8.2,0,65.5,1750,CARP4-Z1-100,,5/31/23,5/31/23,released,cod trap ,CARP5-Z1-57,NA,NA,NA,"Recaptured by research team week following tagging in the same zone (Z1), depth 10.0m temp 7.1C"
146,7332,5/27/23,11:17,CARP4-Z1-21,1,6.7,100,74,2600,CARP4-Z1-21,,,,,,,,,,
147,7509,5/27/23,11:19,CARP4-Z1-21,1,6.7,0,81.5,4600,CARP4-Z1-21,,,,,,,,,,
148,7334,5/27/23,11:27,CARP4-Z1-68,1,9.6,100,61,1500,CARP4-Z1-68,,,,,,,,,,
149,7508,5/27/23,11:49,CARP4-Z1-52,1,6.4,0,58,1550,CARP4-Z1-52,,,,,,,,,,
