Trap #,Date Set,Time Set,Date Pulled ,Time Pulled,UTM Zone,UTM Easting,UTM Northing,Trap Type, Open/ Closed Funnel (OF/CF) , Bait ,Depth m,Temp C,Secchi Depth,Burbot Captured Y/N,No. Burbot Captured,Len (mm),Wt (kg),Girth (MM),Tag applied (Y/N),Tag No. / Colour,Recap (Y/N),Tag No. / Colour,Fate (D/L),Sacrificed (Y/N),Sacrificied Code,Taggged Mortality,Comments,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len
5,7-Jun-09,1636,8-Jun-09,0915,10U,477586,5959588,Cod Trap, CF , Salmon ,11.3,15,2.1,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed. Net had hole in mesh 10cm dia. fixed and re-set.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7-Jun-09,1558,8-Jun-09,0925,10U,477286,5959697,Cod Trap, CF , Salmon ,18.8,15,2.1,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7-Jun-09,1544,8-Jun-09,1024,10U,476994,5959362,Cod Trap, OF , Salmon ,23.5,15,2.1,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7-Jun-09,1536,8-Jun-09,1031,10U,476821,5959539,Cod Trap, OF , Salmon ,21.2,15,2.1,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7-Jun-09,1527,8-Jun-09,1034,10U,476581,5959443,Cod Trap, CF , Salmon ,22.8,15,2.1,N,0,,,,,,,,,,,,"No fish caught, bait refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,7-Jun-09,1517,8-Jun-09,1039,10U,476292,5959392,Cod Trap, CF , Salmon ,23.5,15,2.1,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7-Jun-09,1512,8-Jun-09,1050,10U,476057,5959271,Cod Trap, CF , Salmon ,22.4,15,2.1,N,0,,,,,,,,,,,,"No fish caught, bait refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7-Jun-09,1456,8-Jun-09,1053,10U,475864,5959209,Cod Trap, CF , Salmon ,21.7,15,2.1,N,0,,,,,,,,,,,,"No fish caught, bait refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7-Jun-09,1446,8-Jun-09,1059,10U,475694,5959223,Cod Trap, CF , Salmon ,21.5,15,2.1,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7-Jun-09,1423,8-Jun-09,1104,10U,475439,5959069,Cod Trap, OF , Salmon ,18.9,15,2.1,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7-Jun-09,1415,8-Jun-09,1109,10U,475236,5958994,Cod Trap, CF , Salmon ,15.0,15,2.1,N,0,,,,,,,,,,,,"No fish caught, bait refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8-Jun-09,0908,9-Jun-09,0832,10U,477670,5959373,Cod Trap, CF , Salmon ,9.2,13,2.1,Y,2 of 2,660,2.41,320,Y,FW YELLOW BC02756,N,,L,N,,,Trap reset in same UTM. Trap bait not refreshed. Fish revived well both fish punctured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8-Jun-09,0908,9-Jun-09,0832,10U,477670,5959373,Cod Trap, CF , Salmon ,9.2,13,2.1,Y,1 of 2,630,2.5,260,Y,FW YELLOW BC02757,N,,L,N,,,Trap reset in same UTM. Trap bait not refreshed. Fish revived well both fish punctured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8-Jun-09,1101,9-Jun-09,1136,10U,475648,5959220,Cod Trap, CF , Salmon/ PCC ,21.1,15,2.1,Y,1,530,1.36,240,Y,FW YELLOW BC02796,N,,L,N,,,"Bait not replaced, reset same area. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
