Trap #,Date Set (mm/dd/yy),Time Set,Date Pulled (mm/dd/yy),Time Pulled,UTM Zone,UTM Easting,UTM Northing,Trap Type, Bait ,Depth m,Temp C,Secchi Depth m,Burbot Captured Y/N,No. Burbot Captured,Len (mm),Wt (kg),Girth (mm),Tag Applied (Y/N),Tag No. / Colour,Recap (Y/N),Tag No. / Colour,Fate (D/L),Decompression Stress (Y/N),Treatment,Sacrificed (Y/N),Sacrificed Code,Comments,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len
H-18,28-Jun-11,0859,30-Jun-11,0928,10U,476735,5986487,Hoop Trap L,NSC,9.3,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-7,28-Jun-11,1010,30-Jun-11,1039,10U,477602,5986650,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-8,28-Jun-11,1135,30-Jun-11,1204,10U,477592,5987082,Hoop Trap L,NSC,12,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-9,28-Jun-11,1307,30-Jun-11,1336,10U,477590,5986753,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-11,28-Jun-11,1005,30-Jun-11,1035,10U,477463,5986601,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-13,28-Jun-11,0811,30-Jun-11,0842,10U,477268,5986427,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-14,28-Jun-11,0951,30-Jun-11,1019,10U,477279,5986530,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-20,28-Jun-11,1124,30-Jun-11,1153,10U,477720,5986704,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-22,28-Jun-11,1313,30-Jun-11,1342,10U,477643,5986745,Hoop Trap L,NSC,14,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-24,28-Jun-11,1320,30-Jun-11,1351,10U,477670,5987038,Hoop Trap L,NSC,12,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-25,28-Jun-11,1016,30-Jun-11,1044,10U,477400,5986895,Hoop Trap L,NSC,13,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-26,28-Jun-11,1115,30-Jun-11,1146,10U,477393,5987029,Hoop Trap L,NSC,11,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-28,28-Jun-11,1109,30-Jun-11,1138,10U,477257,5987145,Hoop Trap L,NSC,5.5,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-29,28-Jun-11,0959,30-Jun-11,1028,10U,477241,5986801,Hoop Trap L,NSC,13,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-30,28-Jun-11,1331,30-Jun-11,1400,10U,477749,5987228,Hoop Trap L,NSC,2,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-31,28-Jun-11,1325,30-Jun-11,1353,10U,477498,5987356,Hoop Trap L,NSC,3,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-27,28-Jun-11,0822,30-Jun-11,0850,10U,477411,5986434,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-91,28-Jun-11,0830,30-Jun-11,0859,10U,477528,5986458,Hoop Trap L,NSC,14,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
