Trap #,Date Set,Time Set,Date Pulled,Time Pulled,UTM Zone,UTM Easting,UTM Northing,Trap Type, Bait ,Depth m,Temp C,Secchi Depth m,Burbot Captured Y/N,No. Burbot Captured,Len (mm),Wt (kg),Girth (mm),Tag applied (Y/N),Tag No. / Colour,Recap (Y/N),Tag No. / Colour2,Fate (D/L),Decompression Stress (Y/N),Treatment,Sacrificed (Y/N),Sacrificied Code,Comments,Sp.,No.L,No.D,Len,Len3,Len4,Len5,Len6,Sp.7,No.L8,No.D9,Len10,Len11,Len12,Len13,Len14,Sp.15,No.L16,No.D17,Len18,Len19,Len20,Len21,Len22,Sp.23,No.L24,No.D25,Len26,Len27,Len28,Len29,Len30,Sp.31,No.L32,No.D33,Len34,Len35,Len36
H-23,28-May-10,1024,30-May-10,0847,10U,478416,5987433,Hoop Trap L, NSC + LSU ,9.0,9,2.5,N,0,,,,,,,,,,,,,"NFC, Trap relocated to new set. No fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-24,28-May-10,1040,30-May-10,0855,10U,478560,5987287,Hoop Trap L, Sockeye + NSC ,12.0,9,2.5,N,0,,,,,,,,,,,,,"NFC, No fresh bait added. Trap set in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-25,28-May-10,1215,30-May-10,0903,10U,479687,5986835,Hoop Trap L, NSC ,6.4,8,2.5,N,0,,,,,,,,,,,,,"NFC, trap relocated north to be moved in lie with numbering system. No fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-26,28-May-10,1057,30-May-10,0916,10U,479240,5987172,Hoop Trap L, Sockeye + NSC ,10.0,9,2.5,N,0,,,,,,,,,,,,,"NFC. Trap moved north toward shoreline, no fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-27,28-May-10,1146,30-May-10,0926,10U,479804,5987666,Hoop Trap L, NSC ,3.0,8,2.5,N,0,,,,,,,,,,,,,"NBC, trap reset in same general location. No fresh bait added.",NSC,1,0,100,,,,,CAS,1,0,60,,,,,LSU,1,0,400,,,,,,,,,,,,,,,,,,
H-28,28-May-10,1154,30-May-10,0947,10U,479673,5987501,Hoop Trap L, NSC ,4.0,8,2.5,N,0,,,,,,,,,,,,,"NFC, trap reset in same general location. No fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-29,28-May-10,1208,30-May-10,1025,10U,479878,5987205,Hoop Trap L, NSC ,3.5,8,2.5,N,0,,,,,,,,,,,,,"NFC, trap relocated further into bouy. No fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-30,28-May-10,1234,30-May-10,1045,10U,479689,5986670,Hoop Trap L, NSC ,5.9,8,2.5,N,0,,,,,,,,,,,,,"NBC, trap moved closer to shore in front of inlet. No fresh bait added.",NSC,11,0,80,110,130,100,90,LSU,1,0,400,,,,,,,,,,,,,,,,,,,,,,,,,,
H-31,28-May-10,1224,30-May-10,1100,10U,479433,5986445,Hoop Trap L, NSC ,2.5,9,2.5,N,0,,,,,,,,,,,,,"NBC, trap relocated, old bait removed, fresh bait added.",NSC,10,0,120,90,70,100,100,CAS,4,0,70,75,68,70,,,,,,,,,,,,,,,,,,,,,,,
H-21,28-May-10,0923,30-May-10,0812,10U,477582,5987101,Hoop Trap L, NSC ,13.0,9,2.5,N,0,,,,,,,,,,,,,"NFC, no fresh bait, trap reset in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
